frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
43, 0, 0.000, 0.98, 1, 2.23, 1.07, -1.54, -0.55, 0.71, 0.69, 0.46, 1.05, 2.01, 0.66, 0.86, 0.94, -0.05, 0.52, 1.52, 1.14, 1.09, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
44, 0, 0.000, 0.88, 1, 0.17, -0.71, 0.09, 0.53, 1.51, 1.93, 0.91, 3.39, 2.44, 2.30, 1.71, 2.47, 0.86, 1.77, 1.39, 0.91, 0.08, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
45, 0, 0.000, 0.98, 1, 1.19, 2.43, 1.39, -0.24, 0.90, 2.38, 1.15, 1.07, 1.12, 2.34, -0.33, 1.73, 0.11, 1.28, 0.01, 1.32, -0.29, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
46, 0, 0.000, 0.75, 1, 1.23, 0.78, -0.81, 1.24, 0.40, -0.30, -0.45, -0.72, 1.05, 0.25, 0.67, 1.52, 0.89, 0.28, -1.93, 0.09, -0.50, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
47, 0, 0.000, 0.98, 1, 1.14, 0.12, 0.58, -0.39, 2.46, 1.34, 1.41, 2.56, 2.96, 2.91, 0.43, 0.61, 0.99, 0.40, 0.31, -0.41, -1.42, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
48, 0, 0.000, 0.98, 1, 0.65, -0.19, -0.26, -1.40, 1.77, 1.22, 1.96, 1.65, 1.67, 2.73, 0.22, 1.90, 0.73, 1.04, -2.38, -2.15, 0.76, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
49, 0, 0.000, 0.98, 1, -0.88, -0.62, -1.36, 0.07, -0.80, -1.32, -0.22, -0.43, 0.98, 1.24, -0.11, 1.86, 0.02, 1.13, -1.75, 0.64, -0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 0, 0.000, 0.82, 1, -0.14, 0.26, -0.01, 1.55, 1.71, 1.19, 1.20, 1.68, 2.08, 1.82, -0.80, 2.56, -0.24, 5.13, -1.59, -0.78, -0.82, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
51, 0, 0.000, 0.98, 1, 0.74, 0.11, -0.51, -0.24, 1.65, 0.91, 1.08, 0.98, 2.36, 1.78, -0.65, 0.65, 2.12, 0.32, -0.07, -0.20, 0.13, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
52, 0, 0.000, 0.98, 1, 0.95, 2.10, -0.55, 1.52, 1.34, 1.15, 1.00, 1.42, 1.89, 0.64, 1.13, 1.11, -0.18, 0.14, 0.63, -0.40, -0.17, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
