frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
36, 0, 0.000, 0.98, 1, -0.81, -2.14, 1.16, -0.83, 4.38, 4.37, 2.18, 3.77, 3.80, 2.52, 0.29, 1.44, 0.81, 0.48, 1.66, 2.14, -0.52, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
37, 0, 0.000, 0.98, 1, 0.81, 1.43, 0.15, 0.54, 1.53, 2.02, -0.33, 1.44, 2.57, 1.90, 0.64, -0.40, 0.01, 2.47, 1.21, 0.93, 0.46, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
38, 0, 0.000, 0.98, 1, 0.14, -1.00, -0.78, -0.83, 2.05, 1.83, 1.08, 2.14, 2.66, 2.68, 0.55, 1.01, 1.41, 0.89, 0.58, 2.22, -0.55, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
39, 0, 0.000, 0.98, 1, 0.53, -0.02, 0.32, 0.67, 2.85, 2.95, 0.61, 0.91, 2.51, 1.69, 0.51, -0.01, -0.27, 1.63, 3.02, 1.29, 0.55, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0
40, 0, 0.000, 0.88, 1, -0.81, 0.27, 1.23, 2.15, 0.92, 2.30, 0.09, 3.01, 1.55, 0.37, 0.75, 1.07, 0.69, 2.30, -0.15, 3.06, -0.00, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0
41, 0, 0.000, 0.92, 1, -1.34, 0.63, 0.69, 1.61, 1.88, 2.75, 2.13, 1.33, 1.47, 0.08, -1.32, -0.08, 0.23, 0.29, 0.21, 0.26, -1.47, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
42, 0, 0.000, 0.88, 1, 0.15, 1.20, -0.59, 1.25, 0.86, 3.15, 0.80, 2.23, 1.67, 0.76, 0.28, 0.41, -0.46, 1.06, 0.28, 0.41, -0.66, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
43, 0, 0.000, 0.98, 1, -1.79, -2.94, 0.19, -1.02, 2.82, 1.89, 0.46, 2.82, 2.94, 1.32, 0.61, 0.35, -0.63, 1.12, 1.48, 0.02, -0.14, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
44, 0, 0.000, 0.98, 1, -0.51, 0.77, 0.05, -0.61, 2.37, 3.31, 2.18, 2.86, 2.95, 2.18, -0.76, 0.14, -2.09, 0.94, 0.14, -1.13, -1.11, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
45, 0, 0.000, 0.92, 1, 0.11, 0.62, -1.00, -1.49, 1.94, 1.10, 1.01, 0.89, 2.95, 0.57, -0.14, -0.61, 0.62, 1.87, -1.32, -0.73, -1.19, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
46, 0, 0.000, 0.92, 1, 2.21, 0.18, 2.21, 1.73, 2.11, 2.46, -0.04, 1.87, 2.33, 2.03, -1.34, 0.71, 1.31, 1.02, 1.15, 3.72, -0.82, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0
47, 0, 0.000, 0.98, 1, -0.11, -1.04, 0.00, -0.06, 2.61, 1.27, 1.35, 2.21, 2.12, 1.61, 1.73, 0.84, 0.29, -1.31, 0.65, -0.21, 1.33, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
48, 0, 0.000, 0.98, 1, -0.88, 0.11, 0.49, 1.37, 3.16, 2.27, 0.99, 2.99, 3.75, 2.10, 0.07, -0.32, -0.23, 0.89, 2.18, 0.87, -2.04, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
49, 0, 0.000, 0.98, 1, 0.07, 1.33, -0.63, 0.67, 0.59, 0.09, 0.56, 0.66, 2.26, 1.55, -1.33, -0.39, -0.51, 1.19, -0.65, -0.63, 0.24, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
50, 0, 0.000, 0.88, 1, 1.82, 2.42, -2.24, 1.44, 2.14, 2.42, -0.16, 2.55, 2.45, 1.39, 0.56, 3.80, 1.49, 2.16, -2.78, 1.47, -0.03, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
51, 0, 0.000, 0.98, 1, 1.19, 1.47, 0.20, -0.06, 3.51, 3.44, 0.00, 1.58, 2.73, 1.26, 0.45, 0.30, -0.41, 1.54, 2.62, 1.99, -0.18, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
