frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
36,  0,  0.000,  0.98,  1, 0.15, 0.00, 0.00, 0.00, 0.29, 0.70, 0.00, 0.30, 0.40, 0.96, 1.91, 1.06, 0.33, 0.00, 1.02, 1.02, 0.64, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
37,  0,  0.000,  0.98,  1, 0.01, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 1.53, 0.86, 0.15, 0.12, 1.06, 1.54, 1.43, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
38,  0,  0.000,  0.98,  1, 0.60, 0.34, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.62, 0.49, 0.15, 0.12, 1.64, 1.07, 0.79, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
39,  0,  0.000,  0.98,  1, 0.79, 0.66, 0.23, 0.00, 0.00, 0.73, 0.40, 0.21, 0.07, 0.00, 0.30, 0.56, 0.00, 0.12, 1.05, 0.85, 0.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
40,  0,  0.000,  0.98,  1, 0.79, 0.66, 0.23, 0.00, 0.00, 0.73, 0.40, 0.21, 0.07, 0.00, 0.30, 0.36, 0.00, 0.00, 0.66, 0.33, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
41,  0,  0.000,  0.02,  0, 0.19, 0.32, 0.00, 0.00, 0.00, 0.73, 0.40, 0.21, 0.07, 0.00, 0.21, 0.35, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
42,  0,  0.000,  0.02,  0, 0.00, 0.00, 0.00, 0.00, 0.15, 0.80, 0.02, 0.25, 0.34, 0.00, 0.55, 0.00, 0.20, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  0.000,  0.92,  1, 0.00, 0.00, 0.38, 0.00, 0.15, 1.87, 0.02, 0.25, 0.34, 0.00, 0.55, 0.40, 0.29, 0.35, 0.27, 0.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
44,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.91, 0.16, 0.15, 1.96, 0.02, 0.29, 0.34, 0.17, 0.55, 0.40, 0.29, 0.35, 0.63, 1.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  0.000,  0.88,  1, 0.83, 0.33, 0.91, 0.16, 0.00, 1.16, 0.19, 0.04, 0.00, 0.17, 0.15, 0.40, 0.22, 0.35, 0.96, 0.98, 1.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
